"symbol","div_or_split","record_date","payment_date","amount","description"
"TSM","dividend","2022-06-17 00:00:00","2022-07-14 00:00:00",0.467289,"ADR"
"TSN","dividend","2020-12-01 00:00:00","2020-12-15 00:00:00",0.445,"Ordinary Shares - Class A"
"TSN","dividend","2021-03-01 00:00:00","2021-03-15 00:00:00",0.445,"Ordinary Shares - Class A"
"TSN","dividend","2021-06-01 00:00:00","2021-06-15 00:00:00",0.445,"Ordinary Shares - Class A"
"TSN","dividend","2021-09-01 00:00:00","2021-09-15 00:00:00",0.445,"Ordinary Shares - Class A"
"TSN","dividend","2021-12-01 00:00:00","2021-12-15 00:00:00",0.46,"Ordinary Shares - Class A"
"TSN","dividend","2022-03-01 00:00:00","2022-03-15 00:00:00",0.46,"Ordinary Shares - Class A"
"TSN","dividend","2022-06-01 00:00:00","2022-06-15 00:00:00",0.46,"Ordinary Shares - Class A"
"TTD","split","2021-05-10 00:00:00","2021-06-17 00:00:00",0.1,"Ordinary Shares - Class A"
"TTE","dividend","2021-12-31 00:00:00","2022-01-25 00:00:00",0.747912,"ADR"
"TTE","dividend","2022-03-21 00:00:00","2022-04-12 00:00:00",0.738652,"ADR"
"TTE","dividend","2022-06-20 00:00:00","2022-07-14 00:00:00",0.693139,"ADR"
"TUR","dividend","2021-12-14 00:00:00","2021-12-17 00:00:00",0.091454,"BTC iShares MSCI Turkey ETF"
"TV","dividend","2022-05-27 00:00:00","2022-06-10 00:00:00",0.087616,"ADR - Level III"
"TX","dividend","2021-11-15 00:00:00","2021-11-19 00:00:00",0.8,"ADR"
