"symbol","div_or_split","record_date","payment_date","amount","description"
"WAB","dividend","2022-05-20 00:00:00","2022-05-27 00:00:00",0.15,"Ordinary Shares"
"WAL","dividend","2020-08-14 00:00:00","2020-08-28 00:00:00",0.25,"Ordinary Shares"
"WAL","dividend","2020-11-13 00:00:00","2020-11-27 00:00:00",0.25,"Ordinary Shares"
"WAL","dividend","2021-02-19 00:00:00","2021-03-05 00:00:00",0.25,"Ordinary Shares"
"WAL","dividend","2021-05-14 00:00:00","2021-05-28 00:00:00",0.25,"Ordinary Shares"
"WAL","dividend","2021-08-13 00:00:00","2021-08-27 00:00:00",0.35,"Ordinary Shares"
"WAL","dividend","2021-11-19 00:00:00","2021-12-03 00:00:00",0.35,"Ordinary Shares"
"WAL","dividend","2022-02-18 00:00:00","2022-03-04 00:00:00",0.35,"Ordinary Shares"
"WAL","dividend","2022-05-13 00:00:00","2022-05-27 00:00:00",0.35,"Ordinary Shares"
"WBA","dividend","2021-02-19 00:00:00","2021-03-12 00:00:00",0.4675,"Ordinary Shares"
"WBA","dividend","2021-05-21 00:00:00","2021-06-11 00:00:00",0.4675,"Ordinary Shares"
"WBA","dividend","2021-08-20 00:00:00","2021-09-10 00:00:00",0.4775,"Ordinary Shares"
"WBA","dividend","2021-11-15 00:00:00","2021-12-10 00:00:00",0.4775,"Ordinary Shares"
"WBA","dividend","2022-02-18 00:00:00","2022-03-11 00:00:00",0.4775,"Ordinary Shares"
"WBA","dividend","2022-05-20 00:00:00","2022-06-10 00:00:00",0.4775,"Ordinary Shares"
"WD","dividend","2021-05-20 00:00:00","2021-06-04 00:00:00",0.5,"Ordinary Shares"
"WD","dividend","2021-08-19 00:00:00","2021-09-03 00:00:00",0.5,"Ordinary Shares"
"WD","dividend","2021-11-19 00:00:00","2021-11-29 00:00:00",0.5,"Ordinary Shares"
"WD","dividend","2022-02-22 00:00:00","2022-03-10 00:00:00",0.6,"Ordinary Shares"
"WD","dividend","2022-05-19 00:00:00","2022-06-03 00:00:00",0.6,"Ordinary Shares"
"WDFC","dividend","2022-01-14 00:00:00","2022-01-31 00:00:00",0.78,"Ordinary Shares"
"WDFC","dividend","2022-04-15 00:00:00","2022-04-29 00:00:00",0.78,"Ordinary Shares"
