,trade_id,address,chain,symbol,target_percentage,entry_date_time,next_market_open,market_entry_date_time,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
488,70,0x211FE601e24cE89Cb443356F687C67fbf7708412,SKL,ALGOUSD,0.011,2021-12-31 00:40:22,2021-12-31 14:30:00,2021-12-31 15:00:00,,,,10000.0,110.0,,,,0.0,0
3002,412,0xd019955e5Db68ebd41CE5A7A327DdD5f2658e8D9,SKL,ALGOUSD,0.005,2022-04-12 13:30:55,2022-04-12 13:30:00,2022-04-12 14:00:00,,,0.0,,,,,,,0
