eth_cust_address,address,chain,symbol,target_position_value,date_time
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,GOOG,0.301,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,CDLX,0.272,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,FB,0.220,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,SE,0.207,2021-12-31 08:05:19
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AMZN,0.104,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,LRCX,0.103,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,INMD,0.097,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,MIME,0.086,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,SHOP,0.084,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AMC,0.081,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ETSY,0.075,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ARKK,0.070,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AAPL,0.067,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,XM,0.056,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,KNCUSDT,0.052,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,BTCUSDT,0.045,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ETHUSDT,0.044,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ADAUSDT,0.038,2021-12-31 01:08:40
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,AAPL,0.122,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,MSFT,0.104,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,AMZN,0.098,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,BTCUSDT,0.078,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,ATVI,0.077,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,SU,0.072,2021-12-31 04:36:01
0xe44fc81521409aee001e70befbda6436f1b26b58,0xe44FC81521409aeE001E70beFbDA6436F1b26B58,SKL,PENN,0.064,2021-12-31 04:36:01
