timestamp,symbol,vwap,delayed_trade_date
2022-06-09 12:00:00,AAPL,147.921427,2022-06-09
2022-06-09 13:00:00,AAPL,147.193778,2022-06-09
2022-06-09 14:00:00,AAPL,146.847193,2022-06-09
2022-06-09 15:00:00,AAPL,146.397478,2022-06-09
2022-06-09 16:00:00,AAPL,146.110033,2022-06-09
2022-06-09 17:00:00,AAPL,146.029244,2022-06-09
2022-06-09 18:00:00,AAPL,145.375668,2022-06-09
2022-06-09 19:00:00,AAPL,143.549804,2022-06-09
2022-06-10 12:00:00,AAPL,140.670027,2022-06-10
2022-06-10 13:00:00,AAPL,139.543346,2022-06-10
2022-06-10 14:00:00,AAPL,138.018839,2022-06-10
2022-06-10 15:00:00,AAPL,137.572242,2022-06-10
2022-06-10 16:00:00,AAPL,137.817042,2022-06-10
2022-06-10 17:00:00,AAPL,138.067005,2022-06-10
2022-06-10 18:00:00,AAPL,138.230551,2022-06-10
2022-06-10 19:00:00,AAPL,138.09609,2022-06-10
2022-06-13 13:00:00,AAPL,133.69823,2022-06-13
2022-06-13 14:00:00,AAPL,133.612669,2022-06-13
2022-06-13 15:00:00,AAPL,133.825134,2022-06-13
2022-06-13 16:00:00,AAPL,134.23135,2022-06-13
2022-06-13 17:00:00,AAPL,133.672437,2022-06-13
2022-06-13 18:00:00,AAPL,133.361602,2022-06-13
2022-06-13 19:00:00,AAPL,132.161223,2022-06-13
2022-06-14 13:00:00,AAPL,132.381231,2022-06-14
2022-06-14 14:00:00,AAPL,132.334692,2022-06-14
2022-06-14 15:00:00,AAPL,132.361568,2022-06-14
2022-06-14 16:00:00,AAPL,132.289853,2022-06-14
2022-06-14 17:00:00,AAPL,133.018499,2022-06-14
2022-06-14 18:00:00,AAPL,132.737691,2022-06-14
2022-06-14 19:00:00,AAPL,132.639868,2022-06-14
2022-06-14 20:00:00,AAPL,132.74,2022-06-14
2022-06-15 12:00:00,AAPL,134.225,2022-06-15
2022-06-15 13:00:00,AAPL,134.276983,2022-06-15
2022-06-15 14:00:00,AAPL,134.146384,2022-06-15
2022-06-15 15:00:00,AAPL,134.108679,2022-06-15
2022-06-15 16:00:00,AAPL,134.392286,2022-06-15
2022-06-15 17:00:00,AAPL,133.94807,2022-06-15
2022-06-15 18:00:00,AAPL,134.335154,2022-06-15
2022-06-15 19:00:00,AAPL,135.693117,2022-06-15
2022-06-16 13:00:00,AAPL,131.367227,2022-06-16
2022-06-16 14:00:00,AAPL,130.832274,2022-06-16
2022-06-16 15:00:00,AAPL,130.678786,2022-06-16
2022-06-16 16:00:00,AAPL,130.723449,2022-06-16
2022-06-16 17:00:00,AAPL,130.966292,2022-06-16
2022-06-16 18:00:00,AAPL,129.787234,2022-06-16
2022-06-16 19:00:00,AAPL,129.725416,2022-06-16
2022-06-16 20:00:00,AAPL,130.235714,2022-06-16
2022-06-17 13:00:00,AAPL,131.442262,2022-06-17
2022-06-17 14:00:00,AAPL,131.05507,2022-06-17
2022-06-17 15:00:00,AAPL,131.739335,2022-06-17
2022-06-17 16:00:00,AAPL,131.785445,2022-06-17
2022-06-17 17:00:00,AAPL,132.3137,2022-06-17
2022-06-17 18:00:00,AAPL,132.089768,2022-06-17
2022-06-17 19:00:00,AAPL,131.739035,2022-06-17
2022-06-17 20:00:00,AAPL,131.665,2022-06-17
2022-06-21 13:00:00,AAPL,135.392106,2022-06-21
2022-06-21 14:00:00,AAPL,136.428252,2022-06-21
2022-06-21 15:00:00,AAPL,136.665638,2022-06-21
2022-06-21 16:00:00,AAPL,135.997541,2022-06-21
2022-06-21 17:00:00,AAPL,135.921637,2022-06-21
2022-06-21 18:00:00,AAPL,135.82038,2022-06-21
2022-06-21 19:00:00,AAPL,135.984108,2022-06-21
2022-06-22 13:00:00,AAPL,134.748603,2022-06-22
2022-06-22 14:00:00,AAPL,136.786468,2022-06-22
2022-06-22 15:00:00,AAPL,136.384985,2022-06-22
2022-06-22 16:00:00,AAPL,135.652425,2022-06-22
2022-06-22 17:00:00,AAPL,136.185321,2022-06-22
2022-06-22 18:00:00,AAPL,136.548584,2022-06-22
2022-06-22 19:00:00,AAPL,135.751968,2022-06-22
2022-06-23 13:00:00,AAPL,136.317338,2022-06-23
2022-06-23 14:00:00,AAPL,137.15763,2022-06-23
2022-06-23 15:00:00,AAPL,137.60001,2022-06-23
2022-06-23 16:00:00,AAPL,136.635916,2022-06-23
2022-06-23 17:00:00,AAPL,136.542245,2022-06-23
2022-06-23 18:00:00,AAPL,137.31034,2022-06-23
2022-06-23 19:00:00,AAPL,138.124906,2022-06-23
2022-06-24 13:00:00,AAPL,140.489526,2022-06-24
2022-06-24 14:00:00,AAPL,140.790495,2022-06-24
2022-06-24 15:00:00,AAPL,140.125404,2022-06-24
2022-06-24 16:00:00,AAPL,140.089255,2022-06-24
2022-06-24 17:00:00,AAPL,140.005803,2022-06-24
2022-06-24 18:00:00,AAPL,140.146892,2022-06-24
2022-06-24 19:00:00,AAPL,140.867462,2022-06-24
2022-06-27 13:00:00,AAPL,142.271967,2022-06-27
2022-06-27 14:00:00,AAPL,142.271881,2022-06-27
2022-06-27 15:00:00,AAPL,142.677201,2022-06-27
