eth_cust_address,address,symbol,target_position_value,date_time
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,URA,0,2022-01-13 21:58:03
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,COST,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FILUSDT,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,FWONK,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,NFLX,0.25,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SPY,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,NFLX,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,BTCUSDT,0.26,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XOM,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SLV,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XLE,0.24,2022-02-09 03:11:49
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XLE,0,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SLV,0.1,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,URA,0.25,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,INTC,0.12,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SLV,0,2022-04-01 05:24:07
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,XOM,0,2022-04-07 23:22:00
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,BTCUSDT,0.4,2022-04-07 23:22:00
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,INTC,0,2022-04-07 23:22:00
0x0c807858dc9f46441cfc641f7431e6c537327830,0x0C807858dc9F46441CFc641F7431e6C537327830,DAL,0.393,2021-12-31 05:00:11
0x0c807858dc9f46441cfc641f7431e6c537327830,0x0C807858dc9F46441CFc641F7431e6C537327830,MSFT,0.320,2021-12-31 05:00:11
0x0c807858dc9f46441cfc641f7431e6c537327830,0x0C807858dc9F46441CFc641F7431e6C537327830,RCL,0.195,2021-12-31 05:00:11
0x0c807858dc9f46441cfc641f7431e6c537327830,0x0C807858dc9F46441CFc641F7431e6C537327830,UAL,0.090,2021-12-31 05:00:11
0x0d40b8f6cb14c0b9731c9ca1ffec4ce524f718a6,0x0d40b8f6cb14c0b9731c9ca1ffec4ce524f718a6,BLANK,0,1970-01-01 05:00:00
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,RSP,0.052,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,DNP,0.050,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,HD,0.047,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,VTV,0.042,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,DBC,0.039,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,AAPL,0.037,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,CVS,0.036,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,EPD,0.036,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,AMAT,0.036,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,BMI,0.031,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,XLI,0.031,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,VZ,0.030,2021-12-31 02:11:59
0x10d4b16033c515a3abea03d39183904b1a8a63e6,0x10D4b16033C515A3ABeA03D39183904b1a8A63E6,OC,0.030,2021-12-31 02:11:59
