symbol,market_entry_date,market_entry_date_time,vwap
BTCUSD,2022-04-27,2022-04-27 19:00:00+00:00,38796.84422
BTCUSD,2022-04-28,2022-04-28 20:00:00+00:00,39979.486751
BTCUSD,2022-04-22,2022-04-22 16:00:00+00:00,39437.441038
BTCUSD,2022-05-02,2022-05-02 23:00:00+00:00,38618.847203
BTCUSD,2022-05-04,2022-05-04 16:00:00+00:00,39170.824338
BTCUSD,2022-05-09,2022-05-09 20:00:00+00:00,31228.833435
BTCUSD,2022-05-10,2022-05-10 18:00:00+00:00,31585.086203
BTCUSD,2022-05-11,2022-05-11 14:00:00+00:00,31412.574527
BTCUSD,2022-05-18,2022-05-18 20:00:00+00:00,29163.370909
BTCUSD,2022-05-26,2022-05-26 20:00:00+00:00,29445.068562
BTCUSD,2022-06-01,2022-06-01 16:00:00+00:00,30458.561698
BTCUSD,2022-06-24,2022-06-24 14:00:00+00:00,30458.561698
ABNB,2021-12-30,2021-12-30 15:00:00+00:00,167.858896
ABNB,2021-12-31,2021-12-31 15:00:00+00:00,167.858896
ABNB,2022-01-18,2022-01-18 23:00:00+00:00,156.667261
ABNB,2022-02-09,2022-02-09 15:00:00+00:00,168.495018
ABNB,2022-03-01,2022-03-01 15:00:00+00:00,151.670716
ABNB,2022-03-02,2022-03-02 21:00:00+00:00,157.513174
ABNB,2022-03-04,2022-03-04 16:00:00+00:00,141.787906
ABNB,2022-03-11,2022-03-11 21:00:00+00:00,145.15385
ABNB,2022-03-22,2022-03-22 14:00:00+00:00,166.877593
ABNB,2022-03-23,2022-03-23 18:00:00+00:00,164.012908
ABNB,2022-03-29,2022-03-29 19:00:00+00:00,175.387906
ABNB,2022-04-05,2022-04-05 15:00:00+00:00,173.318076
ABNB,2022-04-11,2022-04-11 20:00:00+00:00,160.249216
ABNB,2022-04-18,2022-04-18 14:00:00+00:00,167.647627
ABNB,2022-04-27,2022-04-27 19:00:00+00:00,152.244674
ABNB,2022-04-28,2022-04-28 20:00:00+00:00,159.687638
ABNB,2022-04-22,2022-04-22 16:00:00+00:00,156.588072
