eth_cust_address,address,chain,symbol,target_position_value,date_time
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,GOOG,0.301,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,CDLX,0.272,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,FB,0.220,2021-12-31 08:05:19
0x173c441b61efec6b653bd2f0d8da30ed887b280a,0x173c441b61EfEC6b653bd2F0d8Da30Ed887b280A,SKL,SE,0.207,2021-12-31 08:05:19
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AMZN,0.104,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,LRCX,0.103,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,INMD,0.097,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,MIME,0.086,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,SHOP,0.084,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AMC,0.081,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ETSY,0.075,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ARKK,0.070,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,AAPL,0.067,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,XM,0.056,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,KNCUSDT,0.052,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,BTCUSDT,0.045,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ETHUSDT,0.044,2021-12-31 01:08:40
0x416621067c51d2aade0045189d68ceafb0a2eaef,0x416621067C51d2AaDe0045189D68cEAFB0a2eAEF,SKL,ADAUSDT,0.038,2021-12-31 01:08:40
0x49793c0ebd8219f4f138215752cc1d5f398266e6,0x49793c0eBd8219f4F138215752Cc1d5F398266e6,SKL,TSLA,0.185,2021-12-31 14:59:13
0x49793c0ebd8219f4f138215752cc1d5f398266e6,0x49793c0eBd8219f4F138215752Cc1d5F398266e6,SKL,AAPL,0.177,2021-12-31 14:59:13
0x49793c0ebd8219f4f138215752cc1d5f398266e6,0x49793c0eBd8219f4F138215752Cc1d5F398266e6,SKL,ETHUSDT,0.134,2021-12-31 14:59:13
0x49793c0ebd8219f4f138215752cc1d5f398266e6,0x49793c0eBd8219f4F138215752Cc1d5F398266e6,SKL,BTCUSDT,0.108,2021-12-31 14:59:13
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,BTCUSDT,0.150,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,ETHUSDT,0.106,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,RIO,0.099,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,AG,0.096,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,AR,0.087,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MRK,0.077,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,TQQQ,0.072,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MTNB,0.070,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,CYRX,0.070,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,SOYB,0.063,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MCHP,0.060,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,NGS,0.053,2021-12-31 05:32:57
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,RIO,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,AG,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,AR,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MRK,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,CYRX,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,TQQQ,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MTNB,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,MCHP,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,NGS,0,2022-01-01 03:51:04
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,OILK,0.1,2022-02-03 19:39:19
0x4a58561e058688b2cef87a91bf6ba91cc5a64aef,0x4A58561e058688b2ceF87a91Bf6Ba91Cc5A64AeF,SKL,BOIL,0.1,2022-04-19 19:08:00
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,MOS,0.310,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,MUX,0.084,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,LOW,0.069,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,NTR,0.056,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,ERX,0.048,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,DPST,0.047,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,IFRA,0.036,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,HHC,0.035,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,BG,0.034,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,VAC,0.033,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,ATTO,0.031,2021-12-31 01:33:30
0x552366e4b72e3bc424f19c3a1a854e301eb658d2,0x552366e4B72e3bC424F19c3a1A854E301eB658D2,SKL,ATUS,0.031,2021-12-31 01:33:30
