eth_cust_address,address,chain,symbol,target_position_value,date_time
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,FB,0.155,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,BAM,0.106,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,TSM,0.101,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,BABA,0.092,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,CSCO,0.059,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,IBM,0.058,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,LOW,0.052,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,TFII,0.051,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,GHC,0.050,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,GOLD,0.049,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,JPM,0.048,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,ADT,0.048,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,CRSR,0.047,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,ETHUSDT,0.043,2021-12-31 02:42:18
0x014b11917ab7ebd3bfc30b8f89f170dfb088e85c,0x014b11917aB7eBD3bfC30b8f89f170dFb088e85C,SKL,BTCUSDT,0.041,2021-12-31 02:42:18
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,SKL,DDOG,0.083,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,SKL,NOW,0.077,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,SKL,CRM,0.051,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,SKL,INTC,0.046,2021-12-31 03:57:49
0x020dcbffb08336ece5f5d58913979a5eab2487ef,0x020dCBfFB08336eCE5F5D58913979A5EAb2487Ef,SKL,YELP,0.036,2021-12-31 03:57:49
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,SKL,WD,0.332,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,SKL,ABNB,0.228,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,SKL,GDRX,0.198,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,SKL,FVRR,0.126,2021-12-31 06:14:57
0x068881c2487b7c7689b21aac59136d3294a87a1b,0x068881c2487b7C7689B21aAC59136D3294A87A1B,SKL,LMND,0.112,2021-12-31 06:14:57
0x0693699f6b5867422e46eba37f3e1e82c1000942,0x0693699f6b5867422E46EBa37f3e1E82c1000942,SKL,PLTR,1,2022-02-17 02:01:54
0x0693699f6b5867422e46eba37f3e1e82c1000942,0x0693699f6b5867422E46EBa37f3e1E82c1000942,SKL,PLTR,0,2022-02-17 14:12:33
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,SKL,NIO,0.213,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,SKL,PLTR,0.198,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,SKL,SU,0.144,2021-12-31 10:57:35
0x07a6b08985027c52f028c3b916ef63721a51ecb2,0x07a6b08985027C52F028C3B916eF63721A51ecb2,SKL,WTRH,0.057,2021-12-31 10:57:35
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,SPY,0.450,2021-12-31 00:21:15
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,COST,0.150,2021-12-31 00:21:15
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,COST,0.25,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,FWONK,0.1,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,URA,0,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,URA,0.1,2022-01-06 04:45:40
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,FILUSDT,0.11,2022-01-13 21:57:38
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,FILUSDT,0.2,2022-01-13 21:58:03
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,URA,0,2022-01-13 21:58:03
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,COST,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,FILUSDT,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,FWONK,0,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,NFLX,0.25,2022-01-28 05:01:06
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,SPY,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,NFLX,0,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,BTCUSDT,0.26,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,XOM,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,SLV,0.25,2022-02-09 03:11:23
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,XLE,0.24,2022-02-09 03:11:49
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,XLE,0,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,SLV,0.1,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,URA,0.25,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,INTC,0.12,2022-03-26 15:46:19
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,SLV,0,2022-04-01 05:24:07
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,XOM,0,2022-04-07 23:22:00
0x0c26fc123967954f0603c8712f614c83560dd05b,0x0C26FC123967954f0603C8712f614C83560dD05b,SKL,BTCUSDT,0.4,2022-04-07 23:22:00
