eth_cust_address,address,chain,symbol,target_position_value,date_time,trade_id,date,delayed_trade_date_time,delayed_trade_date_closing_time,delayed_trade_date,timestamp,vwap,max_time_stamp,date_time_adj,ticker_date_time_rank,dta_rank,symbol_appearance_rank,dta_rank_prev,user_id,cash,usd_value,usd_value_prev,positions_usd,inception_return,gross_exposure_usd,long_exposure_usd,short_exposure_usd,net_exposure_usd,gross_exposure_percent,long_exposure_percent,short_exposure_percent,net_exposure_percent,gross_traded_usd,net_traded_usd,gross_traded_percent,net_traded_percent,unrealized_long_pnl,unrealized_short_pnl,unrealized_pnl,realized_long_pnl,realized_short_pnl,realized_pnl,total_long_pnl,total_short_pnl,total_pnl
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CRM,0.017,2021-12-31 00:23:42,10,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,170.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BKNG,0.017,2021-12-31 00:23:42,11,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,170.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MELI,0.016,2021-12-31 00:23:42,12,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,160.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GLD,0.011,2021-12-31 00:23:42,13,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,110.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MSFT,0.011,2021-12-31 00:23:42,14,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,110.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GRUB,0.007,2021-12-31 00:23:42,15,2021-12-31,2021-12-31 14:30:00,2021-12-31 21:00:00,2021-12-31,2021-12-31 15:00:00+00:00,0.0,,2021-12-31 15:00:00+00:00,1,1.0,1.0,0.0,,,9240.0,10000.0,70.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.2,2022-01-18 23:48:26,16,2022-01-18,2022-01-18 14:30:00,2022-01-18 21:00:00,2022-01-18,2022-01-18 23:00:00+00:00,3167.147131,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,1,2.0,2.0,1.0,,,1848.0,9240.0,1848.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.175,2022-02-09 14:31:35,17,2022-02-09,2022-02-09 14:30:00,2022-02-09 21:00:00,2022-02-09,2022-02-09 15:00:00+00:00,3180.491623,2022-02-09 23:00:00+00:00,2022-02-09 15:00:00+00:00,1,3.0,3.0,2.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,ETHUSD,0.158,2022-03-01 01:16:43,19,2022-03-01,2022-03-01 14:30:00,2022-03-01 21:00:00,2022-03-01,2022-03-01 15:00:00+00:00,2952.264758,2022-03-01 23:00:00+00:00,2022-03-01 15:00:00+00:00,1,4.0,4.0,3.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,SKL,FB,0.23,2022-03-02 22:39:26,25,2022-03-02,2022-03-02 14:30:00,2022-03-02 21:00:00,2022-03-02,2022-03-02 21:00:00+00:00,0.0,,2022-03-02 21:00:00+00:00,1,5.0,2.0,4.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
