trade_id,address,chain,symbol,target_percentage,entry_date_time,next_market_open,market_entry_date_time,vwap,post_cumulative_share_count,realized_profit,prior_portfolio_value,current_position,prior_position_value,cash_used,share_count,prior_cumulative_share_count,adjusted_entry
1,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,FB,0.291,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,341.429885,8.522979762,-1134.642485,10000,1762.126066,0,-2910,8.522979762,0,0
2,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GRUB,0.007,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,10.663387,6.564518384,0,10000,60.59050469,0,-70,6.564518384,0,0
3,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MSFT,0.011,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,337.147654,0.326266544,-11.13629185,10000,95.92236403,0,-110,0.326266544,0,0
4,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,GLD,0.011,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,170.210608,0.646258193,5.788341406,10000,115.8353186,0,-110,0.646258193,0,0
5,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,MELI,0.016,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,1351.862584,0.118355225,-14.37426205,10000,125.9311427,0,-160,0.118355225,0,0
6,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,CRM,0.017,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,255.371091,0.665697904,-25.88620753,10000,145.0868884,0,-170,0.665697904,0,0
7,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,COIN,0.019,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,256.656553,0.740288911,-52.7691727,10000,137.4050247,0,-190,0.740288911,0,0
8,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BKNG,0.017,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,2386.229773,0.071242092,-14.39323461,10000,189.4939897,0,-170,0.071242092,0,0
9,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,FNV,0.028,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,137.899493,2.030464318,38.49991414,10000,292.0010736,0,-280,2.030464318,0,0
11,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,UBER,0.044,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,42.744423,10.29374054,-101.9823625,10000,389.7210169,0,-440,10.29374054,0,0
12,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ABNB,0.06,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,167.790027,3.575897869,-25.82762681,10000,681.6618356,0,-600,3.575897869,0,0
13,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,BTCUSD,0.093,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,47938.47509,0.019399866,-157.6763258,10000,772.3236742,0,-930,0.019399866,0,0
14,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,ETHUSD,0.254,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,3791.079163,0.669993923,-424.6211607,10000,2120.2334,0,-2540,0.669993923,0,0
15,0xf920E5d642E4077733026B5156361bE25ac3fC36,SKL,WE,0.02,12/31/2021 0:23,12/31/2021 14:30,12/31/2021 15:00,8.92995,22.39654197,-53.35631219,10000,123.8666286,0,-200,22.39654197,0,0
