,address,trades,date_time,chain,symbol,target_position_value
18,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,TLT:0.15,2022-04-11 19:39:13,SKL,TLT,0.15
19,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,TLT:0.15,2022-04-11 19:39:56,SKL,TLT,0.15
20,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,GLD:0.03,2022-04-16 20:13:03,SKL,GLD,0.03
21,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,GLD:0.03,2022-04-16 20:18:41,SKL,GLD,0.03
22,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,TLT:0.15,2022-04-27 18:16:34,SKL,TLT,0.15
22,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,GLD:0.025,2022-04-27 18:16:34,SKL,GLD,0.025
23,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,GLD:0,2022-04-28 19:55:21,SKL,GLD,0
24,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FNV:0.01,2022-04-28 19:57:12,SKL,FNV,0.01
0,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FB:0.22,2022-04-22 15:32:31,MATIC,FB,0.22
1,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.075,2022-05-02 23:38:26,MATIC,ETHUSDT,0.075
1,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,BTCUSDT:0.05,2022-05-02 23:38:26,MATIC,BTCUSDT,0.05
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ETHUSDT:0.05,2022-05-04 15:12:56,MATIC,ETHUSDT,0.05
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,MELI:0.025,2022-05-04 15:12:56,MATIC,MELI,0.025
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,FNV:0,2022-05-04 15:12:56,MATIC,FNV,0
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,PLTR:0.05,2022-05-04 15:12:56,MATIC,PLTR,0.05
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,V:0.05,2022-05-04 15:12:56,MATIC,V,0.05
2,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,UNP:0.05,2022-05-04 15:12:56,MATIC,UNP,0.05
3,0x594F56D21ad544F6B567F3A49DB0F9a7B501FF37,ABNB:0.07,2022-05-04 15:55:25,MATIC,ABNB,0.07
