,id,corporate_action_id,ca_type,ca_sub_type,initiating_symbol,initiating_original_cusip,target_symbol,target_original_cusip,record_date,cash,old_rate,new_rate,ex_date
50,1523f1e7-4c95-4905-a134-4525d997d6c2,2325749,merger,merger_completion,CRRYX,19766B240,BSVGX,09658V388,,0,1,0.66312,
51,be377522-b360-45f3-9009-80a97a81aff4,2325712,merger,merger_completion,RLIIX,317609550,RLTIX,057071763,,0,1,1.04704,
52,1601c346-e488-4776-bffa-9072ca886633,2325739,merger,merger_completion,CPGRX,19766M725,MRMIX,572353530,,0,1,0.27335,
53,a9cffeb3-41de-4bd4-a667-619dc5669bde,2325719,merger,merger_completion,CPARX,76931T639,BDSRX,09658L273,,0,1,0.2556,
54,06cd2666-7638-42b3-a338-9cb05220249f,2325734,merger,merger_completion,AXBAX,002453587,BABYX,09658L380,,0,1,0.2542,
55,d423c604-665e-4bb4-bf04-e669866d0194,2325715,merger,merger_completion,RLIIX,317609550,RMIIX,317609519,,0,1,0.83678,
56,24f0e1b2-9ba0-45c2-be53-e6cebc70dba5,2325725,merger,merger_completion,ABDAX,002453769,BDVYX,09658L299,,0,1,0.52183,
57,f614a5dc-b5ae-45a0-bd8e-793103b57c26,2325721,merger,merger_completion,NBIAX,638929703,BGRYX,09658L216,,0,1,0.36139,
58,2e621426-3e8a-4511-84c5-d2f7db2902e9,2325747,merger,merger_completion,COVAX,19765J798,BACVX,09658W709,,0,1,0.67494,
59,5d248758-93e8-4c54-b41e-dda99d4fdab2,2325910,merger,merger_completion,FNB,330621103,HBMD,442496105,,0,1,1.8,
60,79dee1fa-47ed-4c2e-95c0-2c241998c889,2325737,merger,merger_completion,CPDIX,19766N806,BABQX,09658L398,,0,1,0.26965,
61,79859a59-6f8c-497f-962f-8e137dc49820,2325717,merger,merger_completion,AXBAX,002453587,BDSYX,09658L257,,0,1,0.2542,
62,24f61d6d-5248-4e9e-87a7-e2b8a66c8367,2325708,merger,merger_completion,RAGIX,31761R278,RLTAX,317609527,,0,1,1.02205,
63,8612fa84-024f-4f8d-89ff-b9a4ffecf1ad,2325738,merger,merger_completion,CBSAX,198513202,BGMAX,09658W600,,0,1,0.26106,
64,ef6d9978-b226-4d03-916d-416ec101b997,2325745,merger,merger_completion,CBMRX,76931T589,BMBQX,09658L182,,0,1,0.57738,
65,2535c291-7894-44a3-ae6b-a11c40eee778,2325714,merger,merger_completion,RLGAX,317609576,RMIAX,317609485,,0,1,0.8331,
66,110ae071-8bf1-4015-aa8b-ca65429b3584,2325722,merger,merger_completion,CGBRX,19766B489,BGRHX,09658L240,,0,1,0.35615,
67,38a50b30-27b5-43e6-bd1d-7669527805c5,2325727,merger,merger_completion,CBVRX,76931T548,BDVRX,09658L323,,0,1,0.53823,
68,52d95472-eaaf-4622-a782-8e54217639d4,2325711,merger,merger_completion,RLGCX,317609568,RMICX,317609493,,0,1,0.85041,
69,487b03aa-0b03-468f-9257-c9d657f6548c,2325724,merger,merger_completion,CPHNX,19766B224,BGRQX,09658L224,,0,1,0.37268,
70,81e836f7-5a7a-465e-9487-799df2d7cc9c,2325726,merger,merger_completion,CPCYX,19766C263,BDVIX,09658L331,,0,1,0.569,
71,c1ee29b7-4a9b-46e8-88c1-1f46dc12b773,2325720,merger,merger_completion,CPDIX,19766N806,BDSQX,09658L265,,0,1,0.26572,
72,d29c0362-6266-4a4c-a482-ed55b4aaf513,2325742,merger,merger_completion,CMVYX,19765M239,BMVGX,09658V438,,0,1,0.73748,
73,5091a651-91a2-4de4-a405-c478c9d0fe94,2325741,merger,merger_completion,CFDRX,19766B356,MRVIX,572353548,,0,1,0.70311,
74,838d94cf-30bd-4f1e-99d0-2dd836f3ddc3,2325731,merger,merger_completion,CIFRX,19766M808,MCIIX,572353431,,0,1,1.26931,
75,af4d2525-efec-455a-bdd4-b0d5c037305a,2326398,merger,merger_completion,RAGIX,31761R278,RMOAX,31761R260,,0,1,0.83357,
76,4af14c55-a5bf-4959-96fc-2ab59359071f,2326443,merger,merger_completion,,,CFFVW,12520R114,,0,1,0,
77,f9715489-e1d9-4458-8dbe-de7cbdb0eaa7,2326236,merger,merger_completion,,,CSPR,147626105,,6.9,1,0,
78,47c0e399-d8ac-49b9-810e-f7703fb45955,2326441,merger,merger_completion,,,CFV,12520R106,,0,1,1,
79,cd8c1b36-c22e-494f-8ce1-05d2f23ab412,2326370,merger,merger_update,RAGIX,31761R278,RMOAX,31761R260,,0,1,0.83357,
80,78a0507d-9278-4623-a481-0f97943d52d6,2326841,merger,merger_completion,,,NFH,G6485P108,,12,1,0,
81,9e0b5792-3328-48ba-8554-70859d6863eb,2326833,merger,merger_completion,,,NFH.WS,G6485P124,,2.7,1,0,
82,cb017256-cbc3-4344-bcd2-6391d663c1d3,2327233,merger,merger_completion,,,PDLB,69290X101,,0,1,1.3952,
83,b2be746c-0ab1-4518-816b-96fc1c9c9691,2327238,merger,merger_completion,,,,,,0.18,1,0,
84,21e9946c-e4fb-4cab-873e-aa00ff39bd5b,2327194,merger,merger_completion,,,SEAH,84918M106,,0,1,1,
85,d6850f2f-7373-4796-b55c-3178f7ce28cb,2327200,merger,merger_completion,LAC,95854Q109,MLNLF,757471107,,0.001,1,0.1261,
86,c7e9b950-2c73-4b93-9e17-584d9d7a5869,2327201,merger,merger_completion,LAC,95854Q109,,,,0.00006,1,0.00805,
87,1fdd120b-e1f9-4160-b903-4318d7a8d94b,2327196,merger,merger_completion,,,SEAH.WS,84918M114,,0,1,0,
88,ebcab4ad-dfbf-48a4-bf60-ab8091f90a1e,2327497,merger,merger_completion,WCUFF,740226105,CDYCF,14140U105,,0,1,0.20079,
89,8a666e9f-c2f9-4826-98e7-b094ed8c1e79,2327344,merger,merger_completion,,,GSS,38119T104,,3.91,1,0,
90,eecdd0bd-1eba-4726-8830-a37071efdf61,2327529,merger,merger_completion,,,NTTHF,64047A108,,6.5,1,0,
91,4e14f8d1-5f21-4b47-9df7-94909c5d7187,2327535,merger,merger_completion,,,DJIFF,234067106,,0,1,1,
92,5d6013fe-3c05-4788-94e8-93456bee2584,2327528,merger,merger_completion,BHP,112169206,BBL,090171109,,0,1,1,
93,e6b02346-5231-4b2a-860c-6ce127056204,2327719,merger,merger_completion,WBS,947890109,STL,743835100,,0,1,0.463,
